COUNTRY_AREA_TERRITORY,iso3,WHOREGION,month_start,cases,deaths
Congo,COG,AFRO,01-10-22,0,0
Congo,COG,AFRO,01-11-22,0,0
Congo,COG,AFRO,01-12-22,0,0
Congo,COG,AFRO,01-01-23,0,0
Congo,COG,AFRO,01-02-23,0,0
Congo,COG,AFRO,01-03-23,0,0
Congo,COG,AFRO,01-04-23,0,0
Congo,COG,AFRO,01-05-23,0,0
Congo,COG,AFRO,01-06-23,0,0
Congo,COG,AFRO,01-07-23,0,0
Congo,COG,AFRO,01-08-23,7,0
Congo,COG,AFRO,01-09-23,6,0
Congo,COG,AFRO,01-10-23,7,2
Congo,COG,AFRO,01-11-23,1,0
Congo,COG,AFRO,01-12-23,0,0
Congo,COG,AFRO,01-01-24,4,0
Congo,COG,AFRO,01-02-24,9,0
Congo,COG,AFRO,01-03-24,15,0
Congo,COG,AFRO,01-04-24,1,0
Congo,COG,AFRO,01-05-24,0,0
Costa Rica,CRI,AMRO,01-07-22,3,0
Costa Rica,CRI,AMRO,01-08-22,0,0
Costa Rica,CRI,AMRO,01-09-22,1,0
Costa Rica,CRI,AMRO,01-10-22,4,0
Costa Rica,CRI,AMRO,01-11-22,16,0
Costa Rica,CRI,AMRO,01-12-22,46,0
Costa Rica,CRI,AMRO,01-01-23,70,0
Costa Rica,CRI,AMRO,01-02-23,62,0
Costa Rica,CRI,AMRO,01-03-23,15,0
Costa Rica,CRI,AMRO,01-04-23,4,0
Costa Rica,CRI,AMRO,01-05-23,2,0
Costa Rica,CRI,AMRO,01-06-23,2,0
Costa Rica,CRI,AMRO,01-07-23,0,0
Costa Rica,CRI,AMRO,01-08-23,0,0
Costa Rica,CRI,AMRO,01-09-23,0,0
Costa Rica,CRI,AMRO,01-10-23,0,0
Costa Rica,CRI,AMRO,01-11-23,0,0
Costa Rica,CRI,AMRO,01-12-23,0,0
Costa Rica,CRI,AMRO,01-01-24,0,0
Costa Rica,CRI,AMRO,01-02-24,0,0
Costa Rica,CRI,AMRO,01-03-24,0,0
Costa Rica,CRI,AMRO,01-04-24,0,0
Costa Rica,CRI,AMRO,01-05-24,0,0
Croatia,HRV,EURO,01-06-22,1,0
Croatia,HRV,EURO,01-07-22,10,0
Croatia,HRV,EURO,01-08-22,15,0
Croatia,HRV,EURO,01-09-22,3,0
Croatia,HRV,EURO,01-10-22,0,0
Croatia,HRV,EURO,01-11-22,0,0
Croatia,HRV,EURO,01-12-22,0,0
Croatia,HRV,EURO,01-01-23,4,0
Croatia,HRV,EURO,01-02-23,0,0
Croatia,HRV,EURO,01-03-23,0,0
Croatia,HRV,EURO,01-04-23,0,0
Croatia,HRV,EURO,01-05-23,0,0
